0.001,0.000720632
0.00125893,0.000717139
0.00158489,0.000755184
0.00199526,0.000745002
0.00251189,0.000764449
0.00316228,0.000765431
0.00398107,0.000778329
0.00501187,0.000789805
0.00630957,0.000790515
0.00794328,0.000805686
0.01,0.000823547
0.0125893,0.000842686
0.0158489,0.00085531
0.0199526,0.000875062
0.0251189,0.000893857
0.0316228,0.000910569
0.0398107,0.000936054
0.0501187,0.000965603
0.0630957,0.000999836
0.0794328,0.00104404
0.1,0.00108786
0.125893,0.00115049
0.158489,0.00120624
0.199526,0.00129428
0.251189,0.00139078
0.316228,0.00150583
0.398107,0.00165706
0.501187,0.00183901
0.630957,0.0020692
0.794328,0.00234197
1.,0.00270414
1.25893,0.00315039
1.58489,0.00370571
1.99526,0.00441274
2.51189,0.00532817
3.16228,0.00649075
3.98107,0.00797356
5.01187,0.00982255
6.30957,0.0121891
7.94328,0.0152486
10.,0.0190028
12.5893,0.0238402
15.8489,0.0299423
19.9526,0.0376273
25.1189,0.0473611
31.6228,0.0593523
39.8107,0.0751273
50.1187,0.0943672
63.0957,0.118604
79.4328,0.149291
100.,0.187686
125.893,0.236616
158.489,0.29636
199.526,0.374141
251.189,0.471444
316.228,0.596005
398.107,0.748282
501.187,0.943056
630.957,1.18622
794.328,1.49708
1000.,1.87446
1258.93,2.36953
1584.89,2.98121
1995.26,3.73736
2511.89,4.7
3162.28,5.94744
